frame,cpu_ms,gpu_ms
1,84.8318,1.60379
2,23.6159,1.13746
3,4.33958,1.25521
4,6.47371,1.26838
5,16.7013,1.4315
6,19.4671,1.26233
7,9.67042,1.25929
8,3.56263,1.11479
9,14.1679,1.1205
10,3.77237,2.24096
11,11.7664,1.13379
12,3.69696,1.15638
13,13.2779,1.16721
14,3.79479,1.14996
15,12.4202,1.20625
16,4.69742,1.14775
17,12.0681,1.17708
18,4.40692,1.17717
19,12.5598,1.19471
20,5.14675,1.17308
21,14.5646,1.11637
22,2.27104,1.10563
23,27.6337,1.10454
24,4.06,1.11529
25,12.5684,1.1075
26,3.49904,1.12662
27,13.5489,1.11187
28,3.144,1.10512
29,13.0454,1.10521
30,3.96817,2.28512
31,12.5397,1.11738
32,2.98371,1.12167
33,13.6442,1.13617
34,3.18879,1.11521
35,13.7558,1.10275
36,4.39171,2.061
37,11.8706,1.08808
38,2.96729,1.10171
39,13.8907,1.14133
40,3.61696,2.21225
41,13.3353,1.10262
42,3.89383,2.25537
43,12.19,1.108
44,3.93104,2.43275
45,12.7388,1.12613
46,4.71871,2.19717
47,11.9323,1.22296
48,4.14288,1.13496
49,12.8625,1.15413
50,4.78125,1.09704
51,11.5916,1.21092
52,5.33267,1.10763
53,11.2909,1.18492
54,5.28971,1.18962
55,11.3709,1.26383
56,4.98129,1.11921
57,11.6446,1.22188
58,5.29887,1.15925
59,11.35,1.25542
60,5.06058,1.182
61,11.5936,1.18442
62,5.1545,1.20087
63,11.5285,1.25621
64,5.16079,1.10179
65,11.4924,1.22637
66,5.28846,1.18879
67,11.3424,1.2385
68,5.21204,1.19975
69,11.467,1.26038
70,5.43575,1.20725
71,11.2149,1.24313
72,5.05025,1.16492
73,11.6092,1.18883
74,5.338,1.19425
75,11.3257,1.2105
76,5.19325,1.16467
77,11.487,1.23883
78,6.28508,1.19571
79,10.3802,1.19275
80,5.30138,1.2075
81,11.3264,1.22321
82,5.28062,1.156
83,11.3848,1.19767
84,5.29454,1.18925
85,11.3616,1.25183
86,5.28229,1.19792
87,11.4095,1.22775
88,5.17446,1.1895
89,11.474,1.19312
90,5.33529,1.19446
91,11.314,1.25387
92,5.40337,1.23788
93,11.4884,1.25104
94,5.93858,1.18192
95,10.5765,1.29238
96,6.46583,1.19625
97,10.1824,1.16725
98,8.97075,1.176
99,13.2528,1.13996
100,2.77358,1.19404
101,8.26538,1.12488
102,5.41913,1.117
103,11.6106,1.22287
104,4.49613,1.17371
105,12.2253,1.21854
106,4.51875,1.17929
107,11.7632,1.1995
108,4.2605,1.14871
109,12.3397,1.24875
110,4.15133,1.11338
111,12.4525,1.17296
112,3.72658,1.79475
113,12.9288,1.24925
114,3.60058,1.7445
115,13.0326,1.15837
116,3.71062,1.17071
117,12.9297,1.20962
118,4.99571,1.1765
119,11.6538,1.18463
120,5.10554,1.18242
121,11.5613,1.20779
122,5.074,1.1515
123,11.5781,1.25058
124,5.42025,1.15254
125,11.2554,1.23704
126,4.99388,1.18138
127,12.0471,1.25267
128,4.28488,1.19671
129,12.2546,1.17821
130,4.95388,1.19825
131,11.5287,1.16354
132,5.12967,1.12442
133,11.4935,1.1305
134,5.04512,1.18283
135,11.601,1.25071
136,5.06867,1.18725
137,11.9119,1.21263
138,4.97721,1.18071
139,11.7074,1.18188
140,4.43079,1.1725
141,12.0351,1.17013
142,4.836,1.15917
143,11.8483,1.1525
144,4.70062,1.17962
145,11.9522,1.17083
146,4.71046,1.17967
147,11.792,1.1845
148,5.44262,1.16338
149,11.374,1.25296
150,5.3135,1.18158
151,10.9707,1.221
152,6.5035,1.18863
153,10.0791,1.16404
154,5.40804,1.17762
155,10.8989,1.23504
156,6.46117,1.18725
157,10.2243,1.19429
158,5.944,1.21812
159,10.9346,1.18421
160,4.82433,1.146
161,11.9109,1.18621
162,4.5845,1.12729
163,11.8098,1.1825
164,5.21021,1.1295
165,11.7384,1.18275
166,4.39617,1.13867
167,12.102,1.192
168,3.62879,1.74146
169,12.7517,1.23863
170,3.64204,1.81492
171,13.0312,1.14237
172,4.31987,2.2525
173,12.2832,1.24025
174,4.40525,2.29
175,12.2672,1.17487
176,4.45162,2.35938
177,12.25,1.17796
178,4.06179,1.71775
179,12.5703,1.19129
180,3.86508,1.18033
181,12.8123,1.173
182,3.97296,1.18079
183,12.6413,1.24504
184,3.69042,1.76188
185,13.0241,1.2395
186,3.83571,1.16787
187,12.7556,1.22825
188,4.30046,1.14608
189,12.351,1.18329
190,4.71958,1.14121
191,11.9211,1.19863
192,4.88762,1.16862
193,12.212,1.26338
194,4.51042,1.191
195,11.7811,1.18108
196,5.16417,1.18746
197,11.7133,1.24392
198,4.81425,1.20004
199,11.5765,1.25812
200,4.85262,1.19512
201,11.7163,1.23125
202,5.31317,1.19167
203,11.3284,1.22338
204,4.9095,1.19312
205,11.8782,1.18588
206,4.77508,1.19938
207,11.678,1.23471
208,5.38417,1.20542
209,11.3567,1.22762
210,5.79304,1.20546
211,11.0209,1.21237
212,6.33812,1.203
213,10.0864,1.16767
214,6.24287,1.15804
215,10.182,1.24162
216,5.20092,1.15283
217,11.3204,1.2505
218,5.33279,1.195
219,11.4208,1.21704
220,5.36679,1.21125
221,11.0883,1.257
222,5.57888,1.21113
223,11.0798,1.20675
224,5.33012,1.2035
225,12.1862,1.19325
226,5.42258,2.02029
227,10.3358,1.18663
228,4.60071,1.19942
229,11.755,1.24183
230,3.92154,1.202
231,12.4412,1.2155
232,4.10575,1.21638
233,13.2003,1.21887
234,3.83092,1.77725
235,12.6388,1.24792
236,3.66962,1.72142
237,12.9069,1.20237
238,4.04529,1.22171
239,12.5164,1.20479
240,3.86783,1.7675
241,12.5085,1.22713
242,4.15925,1.18387
243,12.3539,1.28825
244,4.24887,1.84137
245,12.529,1.31062
246,4.4945,1.23921
247,12.16,1.22429
248,4.68446,1.25587
249,11.8548,1.22663
250,4.31254,1.24925
251,12.2417,1.26804
252,4.44317,1.257
253,12.227,1.27412
254,4.49313,1.24946
255,12.2992,1.21996
256,4.39496,1.8885
257,12.0817,1.275
258,4.89863,1.25012
259,11.6336,1.23275
260,4.60208,1.25713
261,11.9594,1.25592
262,5.06712,1.26425
263,11.5495,1.27971
264,4.82596,1.25083
265,11.828,1.23567
266,4.39454,1.257
267,12.106,1.29188
268,4.57429,1.25483
269,12.1775,1.26325
270,4.59517,1.27004
271,11.9192,1.30488
272,4.34429,1.24212
273,12.2625,1.22488
274,4.42237,1.25337
275,12.2241,1.26412
276,4.64412,1.24821
277,11.9703,1.23142
278,4.79379,1.26025
279,11.7779,1.30975
280,4.44217,1.20963
281,12.1817,1.30062
282,4.20754,1.23821
283,12.4932,1.27129
284,4.55558,1.251
285,12.125,1.22992
286,4.48621,1.25812
287,12.1001,1.28812
288,4.53125,1.24738
289,12.0393,1.28883
290,4.50704,1.25575
291,12.0791,1.26788
292,4.28446,1.23279
293,12.3752,1.29546
294,6.3125,1.70954
295,10.5627,1.409
296,5.27583,1.95312
297,11.0606,1.22367
298,5.56004,1.23671
299,10.9098,1.21925
300,4.88779,1.89804
301,11.6866,1.2455
302,4.05296,1.7965
303,12.85,1.255
304,3.88042,1.22713
305,12.748,1.24112
306,4.74529,1.23125
307,11.4571,1.23846
308,4.00454,1.19704
309,13.0635,1.22879
310,4.40283,1.71225
311,11.8086,1.20575
312,4.13812,1.21746
313,12.777,1.233
314,4.54058,1.23962
315,11.8585,1.23838
316,5.43654,1.2685
317,11.3537,1.24687
318,5.07825,1.27262
319,11.1395,1.22487
320,4.99983,1.2395
321,11.5678,1.25038
322,4.08304,1.1765
323,12.8268,1.29738
324,4.68242,1.22508
325,11.6505,1.24675
326,5.77692,1.25675
327,10.8669,1.22138
328,5.01471,1.8705
329,11.4736,1.2085
330,5.08212,1.22479
331,11.5802,1.2065
332,4.80404,1.87354
333,11.619,1.22708
334,8.81717,1.248
335,7.88825,1.17038
336,5.917,1.22396
337,10.507,1.23692
338,6.07854,1.23558
339,10.4874,1.22267
340,5.84958,1.22175
341,10.6862,1.23696
342,6.20646,1.23162
343,10.3563,1.19233
344,5.99221,1.18525
345,10.7144,1.2105
346,6.94129,1.22887
347,9.36879,1.19225
348,6.87967,1.16921
349,9.71967,1.18825
350,6.20079,1.172
351,10.3101,1.18292
352,5.79512,1.17583
353,10.7826,1.20008
354,5.71417,1.2135
355,10.9033,1.22092
356,5.62825,1.21317
357,10.898,1.21729
358,6.30788,1.17742
359,10.3457,1.23958
360,5.95775,1.1905
361,10.6206,1.1895
362,6.28025,1.184
363,10.1421,1.21113
364,5.8055,1.1665
365,10.8488,1.23017
366,6.24821,1.198
367,10.2417,1.23225
368,5.78021,1.16075
369,10.9106,1.23454
370,6.26179,1.21983
371,10.2435,1.1935
372,5.91446,1.22558
373,10.6425,1.201
374,6.46096,1.23142
375,10.0724,1.19308
376,6.18025,1.182
377,10.3643,1.23375
378,6.07175,1.20421
379,10.4869,1.22
380,5.77758,1.16162
381,10.8236,1.18354
382,6.29767,1.21879
383,10.2747,1.20258
384,5.83946,1.17637
385,10.7203,1.23737
386,6.61988,1.20812
387,9.96658,1.19383
388,6.05225,1.21162
389,10.5397,1.20713
390,6.28867,1.21996
391,10.2488,1.21796
392,5.84558,1.17396
393,10.6828,1.2215
394,5.97092,1.18663
395,10.6446,1.23475
396,5.91504,1.21242
397,10.6308,1.21975
398,6.29488,1.211
399,10.2699,1.21887
400,6.21508,1.20646
401,10.3103,1.20383
402,6.19596,1.21713
403,10.3637,1.208
404,6.07313,1.16546
405,10.7497,1.19425
406,6.1535,1.21054
407,10.229,1.19142
408,6.22187,1.21588
409,10.324,1.19492
410,6.41567,1.21733
411,10.1913,1.20921
412,6.04788,1.22387
413,10.467,1.20917
414,6.16883,1.16375
415,10.4193,1.21779
416,5.79533,1.2225
417,10.7148,1.23154
418,6.05342,1.21087
419,10.5653,1.1885
420,5.80821,1.20425
421,10.7073,1.18817
422,6.21321,1.20425
423,10.3198,1.22538
424,5.87467,1.21212
425,10.6231,1.2005
426,6.23704,1.21013
427,10.2885,1.22412
428,5.92825,1.20008
429,10.6896,1.22117
430,5.94508,1.18025
431,10.6209,1.22788
432,6.02738,1.19538
433,10.6075,1.1865
434,6.12838,1.17287
435,10.419,1.20046
436,6.08929,1.2115
437,10.701,1.216
438,6.12879,1.21454
439,10.2622,1.237
440,6.08754,1.22429
441,10.329,1.19508
442,6.45429,1.19617
443,10.1487,1.18971
444,6.03192,1.21688
445,10.5883,1.21538
446,6.33367,1.20562
447,10.1655,1.17975
448,5.73342,1.15725
449,10.8748,1.1985
450,6.39508,1.21496
451,10.1237,1.22017
452,5.84379,1.1625
453,10.7269,1.22096
454,5.95908,1.16483
455,10.5956,1.19908
456,5.84525,1.21529
457,10.704,1.20488
458,6.06542,1.20979
459,10.5832,1.20971
460,6.43333,1.17538
461,10.121,1.20817
462,6.10983,1.21562
463,10.3794,1.22496
464,6.16471,1.20833
465,10.6415,1.2065
466,7.31604,1.23775
467,8.95262,1.15375
468,7.12312,1.16771
469,9.42442,1.16787
470,6.19858,1.18729
471,10.4657,1.22612
472,5.87292,1.22671
473,10.5635,1.18946
474,6.14254,1.16504
475,10.4779,1.19246
476,5.68267,1.21604
477,10.8357,1.20188
478,6.84117,1.22338
479,9.82092,1.18183
480,5.841,1.21229
481,10.6634,1.19938
482,6.142,1.17517
483,10.338,1.21938
484,5.66971,1.21087
485,11.0043,1.21362
486,6.47492,1.22321
487,10.003,1.21425
488,6.09021,1.17813
489,10.4995,1.225
490,6.17442,1.22487
491,10.3462,1.22163
492,6.26004,1.22608
493,10.3305,1.20771
494,6.14608,1.223
495,10.462,1.19825
496,6.38708,1.21925
497,10.1196,1.19083
498,6.23492,1.20562
499,10.4636,1.23067
500,6.04838,1.23087
501,10.2927,1.197
502,5.90204,1.18025
503,10.7136,1.20362
504,5.70858,1.20625
505,10.8292,1.22067
506,2.88346,1.11833
507,13.9431,1.12412
508,2.71296,1.11629
509,13.8712,1.1355
510,3.30558,1.12679
511,13.3603,1.11762
512,2.99904,1.11887
513,13.7605,1.12675
514,5.86258,1.15358
515,10.5824,1.1225
516,5.73979,1.15892
517,10.9036,1.14538
518,5.73313,1.15108
519,10.9267,1.13763
520,5.42354,1.14512
521,11.2471,1.15387
522,5.65842,1.15562
523,10.9702,1.19687
524,5.41183,1.15979
525,11.2513,1.22246
526,5.88621,1.16079
527,10.7845,1.24708
528,5.6375,1.17454
529,11.0203,1.23775
530,5.90954,1.17575
531,10.7515,1.23792
532,5.76217,1.2285
533,10.8947,1.28033
534,5.98458,1.2315
535,10.6823,1.26638
536,5.68329,1.22046
537,10.9807,1.21938
538,5.67583,1.19238
539,10.9928,1.23513
540,5.61908,1.23396
541,10.981,1.28267
542,5.51375,1.20513
543,11.1882,1.28583
544,5.09104,1.20508
545,11.5786,1.27513
546,5.84054,1.1905
547,10.8349,1.19004
548,5.88138,1.20087
549,10.7482,1.29508
550,5.92138,1.24
551,10.7426,1.2445
552,5.70613,1.23546
553,10.9488,1.2395
554,5.63054,1.2035
555,11.0398,1.29175
556,5.36467,1.21075
557,11.2848,1.28483
558,5.61796,1.19579
559,11.0701,1.29317
560,5.37475,1.1715
561,11.2683,1.25633
562,16.1874,1.19738
563,12.887,1.34521
564,4.23621,1.56933
565,4.27308,1.25792
566,12.4006,1.20762
567,3.68546,1.79742
568,13.5111,1.22608
569,4.69592,1.1805
570,11.3639,1.23479
571,3.88529,1.85825
572,12.7714,1.27504
573,3.94287,1.22071
574,13.0324,1.2125
575,4.13812,1.90538
576,12.1743,1.25858
577,4.18775,1.78163
578,12.4761,1.29092
579,3.82287,1.80625
580,13.188,1.27554
581,17.7232,1.23821
582,5.01379,2.152
583,10.5061,1.21075
584,3.74958,1.23433
585,12.7502,1.18621
586,4.65075,1.253
587,11.9078,1.23225
588,4.23275,1.22938
589,12.4081,1.21133
590,4.30271,1.92475
591,12.2594,1.20954
592,4.13012,1.20475
593,12.528,1.20121
594,4.02121,1.93896
595,12.6152,1.20425
596,4.2425,1.20463
597,12.4461,1.16521
598,4.21046,1.90333
599,12.2258,1.23525
600,4.15813,1.80775
